№,Страна,[a],"ВВП,",$млрд,[b]
20,Швейцария,818.4
21,Польша,688.1
22,Аргентина,631.1
23,Норвегия,593.3
24,Швеция,591.7
25,Бельгия,583.4
26,Ирландия,533.1
27,Израиль,525.0
28,ОАЭ,507.1
29,Таиланд,495.4
30,Венесуэла,482.4,[2014]
31,Египет,476.7
32,Нигерия,472.6
33,Австрия,470.9
34,Сингапур,466.8
35,Бангладеш,460.2
36,Иран,413.5
37,Вьетнам,408.8
38,Малайзия,407.0
39,ЮАР,405.3
40,Филиппины,404.3
41,Дания,400.2
42,Пакистан,374.7
—,Гонконг,[d],359.8
43,Колумбия,343.6
44,Чили,301.0
45,Румыния,300.7
46,Чехия,290.6
47,Финляндия,282.6
48,Ирак,264.2
49,Португалия,255.2
50,Новая Зеландия,248.1
51,Перу,242.6
52,Катар,236.3
53,Казахстан,225.5
54,Греция,217.6
55,Алжир,195.0
56,Венгрия,177.3
57,Кувейт,175.4
58,Украина,160.5
59,Марокко,130.9
60,Эфиопия,126.8
61,Словакия,115.5
62,Эквадор,115.0
63,Оман,114.7
64,Доминиканская Республика,113.5
—,Пуэрто-Рико,[f],113.43
65,Кения,113.42
66,Куба,107.4,[2020]
67,Ангола,106.8
68,Гватемала,95.0
69,Болгария,90.3
70,Люксембург,81.6
71,Узбекистан,80.4
72,Азербайджан,78.7
73,Панама,76.5
74,Танзания,75.7
75,Шри-Ланка,74.4
76,Гана,73.8
77,Белоруссия,72.8
78,Хорватия,71.6
79,Уругвай,71.2
80,Литва,71.0
81,Кот-д’Ивуар,70.0
82,Коста-Рика,69.2
83,ДР Конго,64.7
84,Сербия,63.6
85,Мьянма,62.3
86,Словения,60.1
87,Туркменистан,56.5
88,Судан,51.7
89,Иордания,48.7
90,Тунис,46.3
91,Ливия,45.8
92,Уганда,45.6
93,Бахрейн,44.4
94,Боливия,44.0
95,Камерун,43.6
96,Парагвай,41.7
97,Латвия,40.9
98,Непал,40.8
99,Эстония,38.1
100,Сальвадор,32.5
101,Гондурас,31.7
102,Папуа — Новая Гвинея,31.6
103,Тринидад и Тобаго,30.1
104,Камбоджа,29.5
105,Кипр,29.3
106,Замбия,29.2
107,Исландия,28.1
108,Сенегал,27.7
109,Зимбабве,27.4
110,Грузия,24.8
111,Босния и Герцеговина,24.5
—,Макао,[d],24.0
112,Ливан,23.1,[2021]
113,Йемен,21.6,[2018]
114,Габон,21.1
115,Гвинея,21.0
116,Ботсвана,20.4
117,Гаити,20.3
118,Армения,19.5
—,Государство Палестина,[c],19.1
119,Албания,18.9
120,Мали,18.83
121,Буркина-Фасо,18.82
122,Мозамбик,18.4
123,Мальта,18.1
124,Бенин,17.4
125,Монголия,17.15
126,Ямайка,17.10
127,Бруней,16.7
128,Республика Конго,15.8
129,Никарагуа,15.7
130,Лаос,15.5
131,Нигер,15.34
132,Мадагаскар,15.30
133,Гайана,14.7
134,Молдавия,14.5
135,Афганистан,14.3,[2021]
136,Северная Македония,13.6
137,Руанда,13.3
138,Малави,13.2
139,Маврикий,12.95
140,Намибия,12.91
141,Багамские Острова,12.90
142,Чад,12.7
143,Экваториальная Гвинея,12.03
144,Южный Судан,12.0,[2015]
—,Гернси,и,Джерси,[k],11.7,[2021]
145,Кыргызстан,11.5
146,Таджикистан,10.5
147,Сомали,10.4
148,Мавритания,9.78
—,Новая Каледония,[j],9.62
—,Республика Косово,[c],9.41
149,Сирия,8.97,[2021]
150,Монако,8.78
151,Того,8.34
152,Лихтенштейн,7.71,[2021]
—,Бермуды,[l],7.55
—,Острова Кайман,[l],6.84
—,Остров Мэн,[k],6.68,[2020]
153,Черногория,6.23
154,Мальдивы,6.17
—,Гуам,[f],6.12,[2021]
—,Французская Полинезия,[m],5.81
155,Барбадос,5.70
156,Фиджи,4.98
157,Эсватини,4.79
—,Виргинские Острова (США),[f],4.44,[2021]
158,Сьерра-Леоне,4.09
159,Либерия,4.0
160,Суринам,3.62
—,Фарерские острова,[n],3.56
—,Аруба,[g],3.54
161,Джибути,3.52
162,Андорра,3.35
163,Бурунди,3.34
—,Гренландия,[n],3.24,[2021]
164,Восточный Тимор,3.20
—,Кюрасао,[g],3.08
165,Белиз,2.83
166,Бутан,2.77,[2021]
167,ЦАР,2.38
168,Сент-Люсия,2.34
169,Лесото,2.24
170,Кабо-Верде,2.23
171,Гамбия,2.19
172,Эритрея,2.07,[2011]
173,Антигуа и Барбуда,1.87
174,Сан-Марино,1.86,[2021]
175,Гвинея-Бисау,1.63
176,Соломоновы Острова,1.60
177,Сейшельские Острова,1.59
—,Синт-Мартен,[g],1.54
178,Коморы,1.24
179,Гренада,1.22
—,Теркс и Кайкос,[l],1.14
180,Вануату,1.06
181,Сент-Китс и Невис,0.966
182,Сент-Винсент и Гренадины,0.949
—,Американское Самоа,[o],0.871
—,Северные Марианские Острова,[f],0.858,[2020]
183,Самоа,0.833
—,Сен-Мартен,[m],0.649,[2021]
184,Доминика,0.607
185,Сан-Томе и Принсипи,0.543
186,Тонга,0.469,[2021]
187,Микронезия,0.424
188,Маршалловы Острова,0.259
189,Палау,0.233,[2021]
190,Кирибати,0.223
191,Науру,0.152
192,Тувалу,0.059
н/д,КНДР,н/д
Всего в мире,100879.6
ОЭСР,59849.9
Европейский союз,16746.5
Еврозона,14207.6
№,Страна,"ВВП,",$млрд,[p]
1,США,25744.1
2,Китай,17963.2
3,Япония,4232.2
4,Германия,4076.9
5,Индия,3465.5
6,Великобритания,3089.1
7,Франция,2775.3
8,Россия,2240.4
9,Канада,2137.9
10,Италия,2047.0
11,Бразилия,1920.1
12,Австралия,1776.6
13,Республика Корея,1673.9
14,Мексика,1463.3
15,Испания,1415.9
16,Индонезия,1319.1
17,Саудовская Аравия,1108.1
18,Нидерланды,1008.0
19,Турция,907.1
20,Швейцария,818.4
21,Польша,688.1
22,Аргентина,631.1
23,Швеция,591.2
24,Бельгия,582.6
25,Норвегия,579.4
26,Ирландия,532.4
27,Израиль,525.0
28,ОАЭ,507.1
29,Таиланд,495.3
30,Нигерия,475.1
31,Австрия,470.3
32,Сингапур,466.8
33,Бангладеш,432.7
34,Египет,409.3
35,Вьетнам,408.8
36,Малайзия,406.3
37,ЮАР,405.3
38,Филиппины,404.3
39,Дания,400.2
40,Иран,398.0
—,Гонконг,[d],359.8
41,Колумбия,343.9
42,Пакистан,326.8
43,Румыния,300.7
44,Чили,300.7,[s]
45,Чехия,290.5
46,Финляндия,282.5
47,Ирак,264.2
48,Португалия,254.8
49,Новая Зеландия,245.8
50,Перу,242.6
51,Катар,237.1
52,Казахстан,225.5
53,Греция,217.3
54,Алжир,191.9
55,Венгрия,177.3
56,Кувейт,175.4
57,Украина,160.5
58,Куба,147.2,[s]
59,Марокко,130.9
60,Венесуэла,129.3,[s]
61,Эфиопия,119.0
62,Словакия,115.3
63,Эквадор,115.0
64,Оман,114.7,[s]
65,Доминиканская Республика,113.5
—,Пуэрто-Рико,[f],113.43
66,Кения,113.42
67,Ангола,113.3
68,Гватемала,95.0
69,Болгария,90.2
70,Люксембург,81.5
71,Узбекистан,80.4
72,Азербайджан,78.7
73,Панама,76.5
74,Шри-Ланка,76.2
75,Гана,73.8
76,Танзания,73.5
77,Белоруссия,72.9
78,Хорватия,71.6
79,Уругвай,71.2
80,Литва,70.9
81,Кот-д’Ивуар,70.0
82,Коста-Рика,68.4
83,Туркменистан,67.0,[s]
84,Мьянма,65.2,[s]
85,Сербия,63.6
86,ДР Конго,62.6
87,Словения,60.0
88,Уганда,48.2
89,Иордания,47.5
90,Тунис,46.2,[s]
